"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-03-31,826,"Alcorn County","MS","Corinth",1111,105000,0.00864553314121038,0.0135135135135135,0.137594799566631,0.0656612844107805,,"2019-03","2019-Q1",105000,0,"2019-03"
2019-03-31,1621,"Clatsop County","OR","Astoria",1112,310000,-0.00257400257400257,0.00616682895163908,0.108726752503577,0.0705097324637944,0.0215808350548246,"2019-02","2019-Q1",310800,-0.00257400257400257,"2019-01"
2019-03-31,1222,"Monroe County","MS",,1113,88000,0.00917431192660551,0.0256410256410256,0.151832460732984,0.051070171363673,,"2019-03","2019-Q1",88000,0,"2019-03"
2019-03-31,3192,"Scotts Bluff County","NE","Scottsbluff",1114,123400,-0.00724054706355591,-0.0128,0.0758500435919791,0.0499720468867153,0.0308125046327843,"2019-01","2019-Q1",125200,-0.0143769968051118,"2018-11"
2019-03-31,1737,"Greenup County","KY","Huntington-Ashland",1115,91400,0.0043956043956044,0.0481651376146789,0.23680649526387,0.0772614758975472,0.0245725211728103,"2019-03","2019-Q1",91400,0,"2019-03"
2019-03-31,390,"Boone County","AR","Harrison",1116,116700,0.00171673819742489,0.0077720207253886,0.0696608615948671,0.049856526497519,0.0224119679354535,"2019-03","2019-Q1",116700,0,"2019-03"
2019-03-31,639,"Miami County","IN","Peru",1117,81900,0.00244798041615667,0.00738007380073801,0.0804749340369393,0.0327857206763635,0.0101950083248823,"2005-09","2005-Q3",83000,-0.0132530120481928,"2005-07"
2019-03-31,2671,"Coshocton County","OH","Coshocton",1118,94200,-0.00211864406779661,0.00106269925611052,0.0668176670441676,0.0474807733920466,0.0237395060373931,"2019-01","2019-Q1",94500,-0.00317460317460317,"2019-01"
2019-03-31,2930,"Gloucester County","VA","Virginia Beach-Norfolk-Newport News",1119,225800,-0.00397000441111601,-0.00353045013239188,0.02776513427401,0.0221218818698019,0.00233257070964354,"2007-05","2007-Q2",242100,-0.0673275505989261,"2006-03"
2019-03-31,546,"Green County","WI","Madison",1120,165200,0.00181928441479685,0.00793166564978645,0.0562659846547315,0.0582009286222607,0.0255208675506604,"2019-03","2019-Q1",165200,0,"2019-03"
2019-03-31,1115,"Jasper County","IA","Newton",1121,128700,0.000777604976671851,-0.00155159038013964,0.0353982300884956,0.0471901058424224,0.0217346441577859,"2018-10","2018-Q4",129600,-0.00694444444444444,"2018-09"
2019-03-31,1508,"Addison County","VT",,1122,234100,-0.00298126064735946,-0.0155592935239697,0.0231643356643357,0.0204157424618463,0.0142564331797777,"2018-11","2018-Q4",238100,-0.0167996640067199,"2018-09"
2019-03-31,1013,"Finney County","KS","Garden City",1123,155200,0.00323206205559147,0.0137165251469628,0.0423102753525856,0.0636466414612329,0.0430722556441558,"2019-03","2019-Q1",155200,0,"2019-03"
2019-03-31,2787,"Matagorda County","TX","Bay City",1124,143400,0.00209643605870021,0.0091484869809993,0.0685543964232489,0.064116768848782,0.0411621324326603,"2019-03","2019-Q1",143400,0,"2019-03"
2019-03-31,484,"Dodge County","NE","Fremont",1125,134500,-0.0037037037037037,-0.00517751479289941,0.0657686212361331,0.0627769396654061,0.0358171916164278,"2019-01","2019-Q1",135400,-0.00664697193500739,"2018-11"
2019-03-31,1189,"McLeod County","MN","Hutchinson",1126,168200,-0.00766961651917404,-0.0152224824355972,0.0382716049382716,0.0520662673984309,,"2018-12","2018-Q4",170800,-0.0152224824355972,"2018-10"
2019-03-31,3167,"Independence County","AR","Batesville",1127,94800,0,-0.00315457413249211,0.0128205128205128,0.0152287138111278,0.0135037984045006,"2018-11","2018-Q4",95200,-0.00420168067226891,"2018-11"
2019-03-31,1399,"Steele County","MN","Owatonna",1128,169200,-0.00645918966529654,-0.00878734622144113,0.0476780185758514,0.0461966331165899,0.0168238730883403,"2019-01","2019-Q1",171300,-0.0122591943957968,"2018-12"
2019-03-31,1405,"Summit County","UT","Summit Park",1129,710300,0.00126867775585001,0.0160205979116006,0.114370881706934,0.0754200912676248,0.035524572332096,"2019-03","2019-Q1",710300,0,"2019-03"
2019-03-31,327,"Ware County","GA","Waycross",1130,80500,0.00124378109452736,0.0176991150442478,0.030729833546735,0.0370857622453098,0.00458561268141366,"2019-03","2019-Q1",80500,0,"2019-03"
2019-03-31,961,"Cowley County","KS","Arkansas City-Winfield",1131,74600,0.00810810810810811,0.0289655172413793,0.0581560283687943,0.0663709670037522,0.0157616566109355,"2019-03","2019-Q1",74600,0,"2019-03"
2019-03-31,824,"Albany County","WY","Laramie",1132,242300,0.00331262939958592,0.013383521539105,0.0909500225123818,0.0263047952968278,0.0179047399875003,"2019-03","2019-Q1",242300,0,"2019-03"
2019-03-31,1876,"Lincoln County","NE","North Platte",1133,153200,0,0.0105540897097625,0.10136592379583,0.0478028922246578,0.0372239829482603,"2019-03","2019-Q1",153200,0,"2019-03"
2019-03-31,171,"Hale County","TX","Plainview",1134,76100,0,0,0.0779036827195467,0.0414984101168354,0.0207027778949065,"2019-01","2019-Q1",76200,-0.00131233595800525,"2018-12"
2019-03-31,2535,"Scotland County","NC","Laurinburg",1135,78400,-0.00381194409148666,-0.02,0.0695770804911323,0.0378796933107439,0.00364338546876875,"2018-12","2018-Q4",80000,-0.02,"2018-09"
2019-03-31,681,"Perry County","OH","Columbus",1136,103800,-0.00479386385426654,0,0.124593716143012,0.0571946616940542,0.0283306246093131,"2019-01","2019-Q1",104600,-0.00764818355640535,"2018-12"
2019-03-31,1674,"Douglas County","MN","Alexandria",1137,212200,-0.00281954887218045,-0.000941619585687382,0.0578265204386839,0.0532690918918539,0.0267288786172937,"2019-01","2019-Q1",213200,-0.00469043151969981,"2018-12"
2019-03-31,1284,"Oneida County","WI",,1138,157800,-0.00754716981132076,-0.0168224299065421,0.0286831812255541,0.0309403569149069,0.00933378693327569,"2007-07","2007-Q3",177500,-0.110985915492958,"2006-03"
2019-03-31,3218,"Prince George County","VA","Richmond",1139,204000,0.000490436488474743,0.012909632571996,0.0597402597402597,0.0333956281707239,0.0130461169263285,"2006-09","2006-Q3",208300,-0.0206433029284686,"2006-04"
2019-03-31,1121,"Jasper County","TX",,1140,108400,-0.00275988960441582,-0.0154405086285195,0.0313986679352997,0.0650513807639128,0.0441085744665521,"2018-11","2018-Q4",110300,-0.0172257479601088,"2018-08"
2019-03-31,452,"Cocke County","TN","Newport",1141,93100,0,0.00757575757575758,0.0838183934807916,0.0764968484564132,0.0331372984781653,"2019-03","2019-Q1",93100,0,"2019-03"
2019-03-31,2886,"Beauregard Parish","LA","DeRidder",1142,111000,-0.00715563506261181,-0.00892857142857143,0.0673076923076923,0.0621747284006611,0.0403997464805577,"2019-01","2019-Q1",112400,-0.0124555160142349,"2018-12"
2019-03-31,2092,"Whitley County","KY","London",1143,95100,0,0.00422386483632524,0.0931034482758621,0.0601917823478972,0.0265188850858855,"2019-03","2019-Q1",95100,0,"2019-03"
2019-03-31,2069,"Wapello County","IA","Ottumwa",1144,75600,-0.00395256916996047,-0.00917431192660551,0.0257801899592944,0.0284691880703538,0.0138264981500216,"2018-10","2018-Q4",76600,-0.0130548302872063,"2018-09"
2019-03-31,443,"Clark County","KY","Lexington-Fayette",1145,153600,-0.000650618087182824,-0.0115830115830116,0.0593103448275862,0.0374616989369769,0.0130664352081273,"2018-12","2018-Q4",155400,-0.0115830115830116,"2018-09"
2019-03-31,383,"Barry County","MO",,1146,129300,0.00310318076027929,0.0133228840125392,0.0976230899830221,0.0893167710439042,0.0392297846841554,"2019-03","2019-Q1",129300,0,"2019-03"
2019-03-31,1846,"Laclede County","MO","Lebanon",1147,137000,0.00735294117647059,0.0316265060240964,0.127572016460905,0.0552485816498285,0.0227519695695138,"2019-03","2019-Q1",137000,0,"2019-03"
2019-03-31,1232,"Morgan County","IL","Jacksonville",1148,80700,-0.00247218788627936,-0.0146520146520147,0.0049813200498132,0.0139480672159038,0.0136042941467571,"2018-12","2018-Q4",81900,-0.0146520146520147,"2018-05"
2019-03-31,2973,"Montgomery County","KS","Coffeyville",1149,51000,0,-0.0248565965583174,-0.0925266903914591,-0.0250590270401321,,"2013-07","2013-Q3",76800,-0.3359375,
2019-03-31,1588,"Carlton County","MN","Duluth",1150,169000,-0.00646678424456202,-0.00763358778625954,0.0917312661498708,0.0548494618647803,0.0229441213595196,"2019-01","2019-Q1",170800,-0.0105386416861827,"2018-11"
2019-03-31,2839,"Sagadahoc County","ME","Portland-South Portland",1151,215500,0.000928936367858802,0.0055996266915539,0.0440891472868217,0.0491933140300578,0.023999713927247,"2019-03","2019-Q1",215500,0,"2019-03"
2019-03-31,3210,"Isle of Wight County","VA","Virginia Beach-Norfolk-Newport News",1152,249000,-0.000401445202729827,0.00120627261761158,0.0392320534223706,0.0261962088728822,0.00571795348995607,"2007-09","2007-Q3",258900,-0.0382387022016222,"2006-03"
